200 1131
191 147
47 170 40
47 196 27
48 5 45
48 36 29
48 141 39
49 2 39
49 71 42
49 124 46
49 177 45
50 10 45
50 54 35
50 89 34
50 153 45
50 161 36
51 0 43
51 6 45
51 85 32
51 100 33
51 124 41
51 159 27
51 180 45
51 191 38
51 199 45
52 50 28
52 128 47
52 163 38
52 172 38
53 35 27
53 95 28
53 122 29
53 145 40
53 187 41
54 2 36
54 31 40
54 39 40
54 105 33
54 114 44
54 186 34
55 43 38
55 121 35
55 140 33
56 31 29
56 181 32
56 192 41
57 51 32
57 63 28
57 117 44
57 118 42
57 179 27
58 47 47
58 69 40
58 103 41
59 39 37
59 89 33
59 141 44
59 162 44
59 177 34
59 197 38
60 131 37
60 155 47
60 185 31
61 28 43
61 46 45
61 56 28
61 67 41
62 68 31
62 70 33
62 113 44
62 129 31
62 131 31
62 137 40
63 15 33
63 16 45
63 71 42
63 141 37
63 158 37
63 171 44
64 9 34
64 63 44
64 79 47
64 92 47
64 112 37
64 119 43
64 121 29
64 158 35
64 179 36
64 188 40
64 195 42
65 150 30
65 196 36
66 31 44
66 63 33
66 65 39
66 69 34
66 76 45
66 77 32
66 139 34
66 168 45
66 174 47
66 180 35
66 197 33
67 26 31
67 35 39
67 41 43
67 74 34
67 152 35
67 185 46
67 190 38
68 172 35
68 175 28
69 50 34
69 99 35
69 185 35
69 194 36
70 57 39
70 181 33
71 5 31
71 6 41
71 7 39
71 42 47
71 65 46
71 97 29
71 106 32
71 128 35
71 134 35
72 27 41
72 38 47
72 83 28
72 135 38
72 171 36
72 187 27
72 190 32
72 192 40
73 22 30
73 62 43
73 79 27
73 106 35
73 120 29
73 121 30
73 145 32
74 21 33
74 33 32
74 60 27
74 87 34
74 99 47
74 158 46
74 181 46
75 6 41
75 103 27
75 147 33
76 55 40
76 84 42
76 85 27
76 114 36
76 182 40
77 19 28
77 25 38
77 109 47
77 119 41
77 134 34
77 173 42
78 2 35
78 59 34
78 74 46
78 174 41
79 1 27
79 29 44
79 42 33
79 43 28
79 107 36
79 121 33
80 10 44
80 37 29
80 44 39
80 52 37
80 93 40
80 106 47
80 107 38
80 166 27
80 174 33
80 190 28
81 88 42
81 115 38
81 129 36
81 178 35
82 41 32
82 61 42
82 79 27
82 87 28
82 116 34
82 134 42
83 10 39
83 42 45
83 55 35
83 109 27
83 121 42
83 138 46
83 175 28
83 178 43
84 30 43
84 31 39
84 36 34
84 56 38
84 77 27
84 85 27
84 114 40
84 165 41
85 67 38
85 117 31
85 135 33
85 195 28
86 2 42
86 34 30
86 54 33
86 57 27
86 117 45
86 130 32
87 23 37
87 35 44
87 86 39
87 114 31
87 188 43
88 17 47
88 46 46
88 49 35
88 91 32
88 102 27
88 126 34
88 134 31
88 142 29
88 143 33
88 165 40
89 12 38
89 23 34
89 31 39
89 75 32
89 191 40
90 9 31
90 37 43
90 77 37
90 177 38
90 187 29
91 6 28
91 19 35
91 30 34
91 73 40
91 90 38
91 178 40
92 53 42
92 66 46
92 110 36
92 140 35
93 114 42
93 133 38
94 7 38
94 26 41
94 51 34
94 60 36
94 71 35
94 93 29
94 141 37
94 163 36
94 170 44
94 176 42
94 179 46
94 199 29
95 58 29
95 119 45
95 185 32
96 100 46
96 162 35
96 183 42
96 185 42
97 20 29
97 139 39
97 152 44
97 163 37
98 8 30
98 37 28
98 54 45
98 75 33
98 82 35
98 124 29
99 66 33
99 101 31
99 102 43
99 116 44
99 143 35
99 156 38
100 75 36
100 84 33
100 96 47
100 107 44
100 131 41
101 57 39
101 146 28
101 175 39
101 178 34
102 9 33
102 24 39
102 41 41
102 71 37
102 86 36
102 132 37
102 141 44
102 156 40
102 173 34
103 7 45
103 59 45
103 129 28
104 27 38
104 28 47
104 101 36
104 149 32
104 160 40
105 10 40
105 11 40
105 23 46
105 34 28
106 2 43
106 23 29
106 35 41
106 43 39
106 45 38
106 62 46
106 88 46
106 128 36
106 149 43
106 164 45
106 173 36
107 36 44
107 91 33
107 141 47
107 156 27
108 6 41
108 66 29
108 94 32
108 147 33
109 13 42
109 73 38
109 96 30
109 119 40
110 56 36
110 168 47
111 13 36
111 86 29
111 144 39
111 197 29
112 71 28
112 78 28
112 114 44
112 124 36
112 148 40
112 159 47
112 169 32
112 170 31
112 177 33
112 189 38
113 88 36
114 30 42
114 33 42
114 34 32
114 150 44
114 164 38
114 186 37
114 187 30
115 119 39
115 120 40
115 179 43
116 9 27
116 48 41
116 59 37
116 74 28
116 135 37
116 146 28
117 3 34
117 7 37
117 45 27
117 95 30
117 107 27
118 11 41
118 33 29
118 77 36
118 78 41
118 104 29
118 150 35
118 151 31
118 159 42
119 73 38
119 139 43
119 193 40
120 10 47
120 60 46
120 67 32
120 139 38
120 151 47
121 15 45
121 35 36
121 62 45
121 112 42
121 145 45
121 152 27
121 175 40
122 7 42
122 109 42
122 115 33
122 119 38
122 146 33
122 198 43
123 6 37
123 110 34
123 142 36
124 88 29
124 129 33
124 187 27
125 27 42
125 91 38
125 92 41
125 106 46
125 109 33
125 183 39
126 27 39
126 29 27
126 81 38
126 117 42
126 136 29
126 192 37
127 27 34
127 46 46
127 69 36
127 103 35
128 2 44
128 37 39
128 63 36
128 67 44
128 89 31
128 176 33
128 178 39
129 26 46
129 63 36
129 66 43
129 69 45
129 96 28
129 99 28
129 112 27
129 184 43
129 192 44
130 21 45
130 53 46
130 80 34
130 83 27
131 8 37
131 86 35
131 117 42
131 191 36
132 1 40
132 7 37
132 36 31
132 97 34
132 114 30
132 165 36
132 167 32
132 194 43
133 5 43
133 6 39
133 7 39
133 39 34
133 42 34
133 81 30
133 89 42
133 99 33
133 111 29
133 194 37
134 23 37
134 46 44
134 52 27
134 106 40
134 118 36
135 59 41
135 63 40
135 154 42
135 166 44
136 17 42
136 113 32
136 130 40
137 6 28
137 53 44
137 66 28
138 7 46
138 11 35
138 27 43
138 136 35
138 170 40
138 183 44
139 31 42
139 54 46
139 56 30
139 78 35
139 89 47
139 125 47
139 151 33
139 178 31
140 71 38
140 81 47
140 126 42
141 10 33
141 22 36
141 26 45
141 96 42
141 108 35
141 184 27
142 34 29
142 35 36
142 58 28
142 100 38
142 198 40
143 13 46
143 21 42
143 61 40
143 101 36
143 111 28
143 117 38
143 144 33
143 145 27
143 146 40
143 186 36
143 198 35
144 62 43
144 66 29
144 92 32
144 177 47
145 19 27
145 22 33
145 59 45
145 165 45
145 169 31
145 193 39
145 199 38
146 54 40
146 172 45
146 199 40
147 104 39
148 58 33
148 105 31
148 127 34
149 8 46
150 17 43
150 42 31
150 56 37
150 63 46
150 87 43
150 116 30
150 133 43
150 191 38
151 145 30
151 161 45
151 181 34
151 184 33
151 186 41
152 10 39
152 19 47
152 30 31
152 32 28
152 45 37
152 67 33
152 74 38
152 80 31
152 167 27
153 66 27
153 70 46
153 78 40
153 113 43
153 117 32
153 121 39
153 139 45
153 197 33
154 1 30
154 17 44
154 46 36
154 88 34
154 133 46
155 17 27
155 26 29
155 71 38
155 73 32
155 98 39
155 109 40
155 116 40
155 119 43
155 186 44
155 194 40
156 2 47
156 79 30
156 170 38
157 96 30
157 138 41
157 193 38
158 0 47
158 11 42
158 123 47
158 143 40
158 154 46
159 64 36
159 135 32
159 179 35
160 0 38
160 16 39
160 71 36
160 157 41
160 180 30
161 34 36
161 36 33
161 80 38
161 88 39
161 107 45
161 110 47
161 158 34
161 175 39
161 187 47
162 31 33
162 52 33
162 77 31
162 180 36
163 48 39
163 72 36
163 97 47
163 100 32
164 31 30
164 44 39
164 115 31
164 188 35
164 191 33
164 197 44
165 102 34
165 109 41
165 133 30
165 171 41
166 10 39
166 13 39
166 25 29
166 159 36
167 56 40
167 84 29
167 86 41
167 117 42
167 122 44
167 129 36
167 145 39
167 148 41
167 163 44
168 60 27
168 155 27
168 159 29
168 164 30
169 21 29
169 52 31
169 74 29
169 84 31
169 128 32
169 167 28
170 13 44
170 136 44
170 137 35
170 189 39
171 40 27
171 74 43
171 131 35
171 166 42
171 197 39
172 6 29
172 43 42
172 53 39
172 55 30
172 64 39
172 91 44
172 125 45
172 128 29
172 131 43
172 139 46
172 140 47
172 176 46
172 191 39
173 0 40
173 2 39
173 4 29
173 11 41
173 18 33
173 33 30
173 43 27
173 47 27
173 87 40
173 113 36
173 133 40
173 138 36
174 25 28
174 27 41
174 35 42
174 50 29
174 51 40
174 95 37
174 171 29
174 175 38
174 189 40
174 190 47
175 66 35
175 80 42
175 124 33
175 125 45
175 138 42
175 197 42
176 6 34
176 20 46
176 39 37
176 47 27
176 143 42
176 161 43
177 77 44
177 150 41
177 184 28
178 90 31
178 105 32
178 120 29
178 153 39
178 160 27
178 184 33
179 2 44
179 41 47
179 61 30
179 88 43
179 90 43
179 112 30
179 150 35
179 173 32
180 18 39
180 55 42
181 25 38
181 36 28
182 13 42
182 15 32
182 45 27
182 77 46
182 195 47
183 11 36
183 51 43
183 61 32
183 130 35
183 131 31
183 148 36
183 149 33
183 178 31
184 0 40
184 9 30
184 14 47
184 79 37
184 90 39
184 105 45
184 160 38
184 180 34
185 55 41
185 75 37
185 144 35
186 20 47
186 44 28
186 168 29
187 13 33
187 26 44
187 45 36
187 47 38
187 58 39
187 80 45
187 174 31
188 14 37
188 29 39
188 50 37
188 80 46
188 130 35
188 140 39
188 179 34
189 8 40
189 72 32
189 92 39
189 94 28
189 123 35
189 151 31
189 154 44
189 173 37
190 15 29
190 59 36
190 106 29
190 107 40
190 120 43
190 132 33
190 160 46
190 181 40
191 40 38
191 73 36
191 84 30
191 88 31
191 98 42
191 110 37
191 140 38
191 152 44
191 173 31
191 183 45
191 197 41
192 30 39
192 54 47
192 70 27
192 84 35
192 145 42
193 31 46
193 60 27
193 79 31
193 107 43
193 141 37
193 196 38
194 62 38
194 136 41
194 153 33
194 175 47
195 30 46
195 66 45
195 67 46
195 89 27
195 99 36
195 136 30
195 171 44
196 15 27
196 73 45
196 127 33
196 144 28
197 78 29
197 88 35
197 101 43
197 177 32
198 13 33
198 55 37
198 144 29
198 163 39
198 169 28
199 29 28
199 104 38
199 159 37
199 171 31
199 195 29
